,Season,TeamName,RankTempo,RankAdjTempo,RankOE,RankAdjOE,RankDE,RankAdjDE,RankAdjEM,seed,OverallAvgRank,underrated,overrated,R32,S16,E8,F4,Finals,Champ,Sweet16
884,2025,Akron,6,5,18,47,18,10,56,13.0,22.857142857142858,0.0,4.0,0.21153846153846154,0.18181818181818182,0.0,0.0,0.0,0.0,0
885,2025,Alabama,1,1,8,4,9,41,6,2.0,10.0,0.0,0.0,0.9294871794871795,0.6827586206896552,0.696969696969697,0.463768115942029,0.40625,0.38461538461538464,0
886,2025,Alabama St.,27,27,66,66,20,2,67,16.0,39.285714285714285,0.0,3.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0
887,2025,American,65,65,65,64,11,8,65,16.0,49.0,0.0,1.0,0.01282051282051282,0.0,0.0,0.0,0.0,0.0,0
888,2025,Arizona,17,12,20,12,25,40,14,4.0,20.0,0.0,0.0,0.7884615384615384,0.578125,0.33783783783783783,0.6,0.26666666666666666,0.5,0
889,2025,Arkansas,14,17,61,50,38,51,39,10.0,38.57142857142857,0.0,0.0,0.38461538461538464,0.4,0.375,0.1111111111111111,0.0,0.0,0
890,2025,Auburn,29,32,4,2,37,57,4,1.0,23.571428571428573,0.0,0.0,0.9871794871794872,0.8571428571428571,0.7803030303030303,0.6019417475728155,0.6290322580645161,0.6410256410256411,0
891,2025,Baylor,61,60,33,16,16,27,29,9.0,34.57142857142857,4.0,0.0,0.5192307692307693,0.09876543209876543,0.625,0.4,0.0,0.0,0
892,2025,Bryant,2,3,56,63,35,14,60,15.0,33.285714285714285,0.0,0.0,0.07051282051282051,0.36363636363636365,0.25,0.0,0.0,0.0,0
893,2025,BYU,37,37,12,11,23,23,24,6.0,23.857142857142858,0.0,0.0,0.6089743589743589,0.47368421052631576,0.37777777777777777,0.17647058823529413,0.6666666666666666,0.5,0
894,2025,Clemson,62,61,23,23,50,54,18,5.0,41.57142857142857,0.0,0.0,0.6474358974358975,0.5346534653465347,0.2222222222222222,0.75,0.4444444444444444,0.0,0
895,2025,Colorado St.,56,49,38,36,41,31,41,12.0,41.714285714285715,4.0,0.0,0.3525641025641026,0.4,0.09090909090909091,0.0,0.0,0.0,0
896,2025,Connecticut,64,63,10,14,21,18,35,8.0,32.142857142857146,0.0,3.0,0.4807692307692308,0.21333333333333335,0.5625,0.6666666666666666,0.6666666666666666,0.25,0
897,2025,Creighton,38,39,48,31,30,36,37,9.0,37.0,0.0,1.0,0.5192307692307693,0.09876543209876543,0.625,0.4,0.0,0.0,0
898,2025,Drake,68,68,32,52,51,34,48,11.0,50.42857142857143,0.0,4.0,0.391025641025641,0.4426229508196721,0.37037037037037035,0.6,0.0,0.0,0
899,2025,Duke,50,52,1,3,66,65,1,1.0,34.0,0.0,0.0,0.9871794871794872,0.8571428571428571,0.7803030303030303,0.6019417475728155,0.6290322580645161,0.6410256410256411,0
900,2025,Florida,9,14,5,1,52,59,2,1.0,20.285714285714285,0.0,0.0,0.9871794871794872,0.8571428571428571,0.7803030303030303,0.6019417475728155,0.6290322580645161,0.6410256410256411,0
901,2025,Georgia,34,42,51,41,36,47,34,9.0,40.714285714285715,0.0,0.0,0.5192307692307693,0.09876543209876543,0.625,0.4,0.0,0.0,0
902,2025,Gonzaga,13,10,3,9,54,44,9,8.0,20.285714285714285,20.0,0.0,0.4807692307692308,0.21333333333333335,0.5625,0.6666666666666666,0.6666666666666666,0.25,0
903,2025,Grand Canyon,5,4,62,59,62,24,54,13.0,38.57142857142857,0.0,2.0,0.21153846153846154,0.18181818181818182,0.0,0.0,0.0,0.0,0
904,2025,High Point,45,43,2,24,15,6,53,13.0,26.857142857142858,0.0,1.0,0.21153846153846154,0.18181818181818182,0.0,0.0,0.0,0.0,0
905,2025,Houston,67,67,15,10,68,67,3,1.0,42.42857142857143,0.0,0.0,0.9871794871794872,0.8571428571428571,0.7803030303030303,0.6019417475728155,0.6290322580645161,0.6410256410256411,0
906,2025,Illinois,7,6,21,15,26,37,20,6.0,18.857142857142858,1.0,0.0,0.6089743589743589,0.47368421052631576,0.37777777777777777,0.17647058823529413,0.6666666666666666,0.5,0
907,2025,Iowa St.,21,20,29,19,58,60,10,3.0,31.0,0.0,0.0,0.8525641025641025,0.6165413533834586,0.4878048780487805,0.425,0.6470588235294118,0.36363636363636365,0
